prompt_2a31191ba2b1450d2f8f74960ee96d1a|they have free coffee.
prompt_2b14cfb84f8e78c75e99e8ea929f6d7f|they are both short.
eles sao perguntas ?|0.0

prompt_0453a6027869ff74e808076329345819|who wrote your favorite book?
quem limpou seu carro ?|0.0

prompt_b4883c0096ac06b9d7e57c45f768e192|swim towards us!
parabens de agua , adeus !|0.0

prompt_24661a3834471e809a347eb54849bf3e|why did you become a dancer?
por que voce se tornou uma namorada ?|0.0

prompt_c1637f820b34f058019dfc3429537b55|i forgot my username.
eu olho de musica de manha ?|0.0

prompt_d0acbd655fff86dea676ec0c7b50b824|the black horse wanted to run faster.
o time preguicoso vera para cafe|0.0

prompt_0f88b5fced0775a1a9244d43550720d4|how to read slowly.
como eles frequentemente !|0.0

prompt_be885e959fcb43dd36bb4b7a927293e4|when will sarah get back?
quando vai cobrir o jantar ?|0.0

prompt_6b0bd5ff8530046f6307536ae0f0559b|who swam the fastest?
quem correu , esta ?|0.0

prompt_187a140269bb3a60479918118a597e65|which class is the most difficult?
qual aula e a mais importante ?|0.0

prompt_f0c4db7c58c81a94975a741e1b4ad686|the refrigerator is next to the wall.
o preco sao ao lado do que o topo da montanha|0.0

prompt_beb23dcd0298b421f97b3c82ded4d298|he never checks his email.
ele nunca fez a geladeira|0.0

prompt_e34a3595bfc5a8d360aead56e5e5d906|the meeting was so boring!
o pequeno cachorro foi o dia !|0.0

prompt_f54807e6d9eebf9296e7a5f8dd315bb9|it's eight o'clock.
sao cinco horas|0.0

prompt_acd0b14b12a638051a792887d51c6bb4|do you remember?
voce se lembra ?|0.0

prompt_99daed45835f9a57fb8929ddac7fa33b|what kind of vegetables would you like?
que tipo de manteiga voce gosta ?|0.0

prompt_5ffb6610a68a18520539aab970125a6c|i speak english and portuguese.
eu odeio ingles e surfar ?|0.0

prompt_d03734d4ea45c7c11a20be764c006f3e|it wasn't possible then.
nao levara , tudo !|0.0

prompt_79253af83f772a9ded6570377669f8bb|they want to invite us to the party.
eles querem nos nos ligar a festa ?|0.0

prompt_dfa6ea74060cd75aa3909556b767d66c|the bathroom is really small.
a programacao do meu foi realmente entre|0.0

prompt_cc2e90e7124c9302be84a633af27659c|brown is not my favorite color.
nao esta disponivel divertido favorita !|0.0

prompt_e9a97d075f5aa6e87c6391948a2ee81c|he lets me drink his wine.
ele me permite o trabalho deles|0.0

prompt_520eb6d0bc8e0fa1adebc2969abde971|they import wood from brazil.
eles se de cobrir a geladeira ?|0.0

prompt_f0955436d6e153a45b125dab7fe96e8d|i didn't study enough.
eu nao tem cantar|0.0

prompt_0028061e7df4ab1da8af2bff1510f9dd|the more questions you ask, the more you will learn.
a cidade mais rapido , a biblioteca|0.0

prompt_4b988f47f098dd489863e37a4706f461|it is the first time the train has stopped there in four years.
e o unico clube por dez anos de trem demais|0.0

prompt_5b4b4bbd89521ef3bd6d328350a210b7|i have to accept her offer.
eu tenho que experimentar o cinto dourado|0.0

prompt_4dc710c6dd5ce3233a91252e70a448c8|they'll watch the game with us.
eles precisam a ele|0.0

prompt_5b991b82d72d32a7912524cd6dc75c66|i will give you a pen.
eu darei te trazer uma garconete !|0.0

prompt_5cb60ca430fb2df02f410425dee92e6e|my bed is so soft.
minha casa e tao legal|0.0

prompt_38bd61c38cbf0b0e31297579110f7275|we did not want to tell you.
nos nao querem comprar voce ?|0.0

prompt_dd9561f0455c74bae796c309cb89afe9|do you teach spanish or portuguese?
voce almoca na cozinha ?|0.0

prompt_f4a316dc87256cfcc6ff3c6b0a6ae72a|can i borrow some money from you?
eu posso pegar um barco , voce ?|0.0

prompt_41b6ae725e05ad2c763299066e2f1acb|i'll lend you a pair of wool socks.
eu acho que voce esta de credito de manha|0.0

prompt_2af1d38decfbe891e951147b787b1bae|do you think that they are unhappy?
voce acha que eles estao comprando ?|0.0

prompt_b5081e66b1f6f464122f6871a4a6dd0f|she works at a small school.
ela trabalha em uma aula no ano ?|0.0

prompt_8d40b4d02df18f3dbe68d63251c133a3|she was surprised to see a clown.
ela ficou surpresa uma irma dela ?|0.0

prompt_e8ecefd6474ea5133494cd9a5e757200|it's time to get dressed for school.
esta frio se parasse de voar para a correspondencia ?|0.0

prompt_1cd94b6be6dad7624d7268b1a91e0827|my daughter lost one of her shoes in the train station.
minha filha veio no canto didatico na viagem ?|0.0

prompt_27bf117faa74b8a79d2cdf65deac2067|my sister can swim very well.
minha irma pode nadar muito bem|0.0

prompt_d373a9218e9a240b28b2f795ab3f881b|whose are the shoes?
esta sao dos sapatos ?|0.0

prompt_98fb2311f85d6a45cc90df6de0e0ac57|i don't know if that's right.
eu nao sei que laura esta quebrada|0.0

prompt_bd5c41eab3d4a5f7c8cb10bdbde89c83|some of the pieces are missing.
cada meia centimetros tem que !|0.0

prompt_80d104eb58006015bb272fbbc76064c1|did the nurse give you the medicine?
o lugar voce tem que explicar o ensino medio ?|0.0

prompt_9d91325d499afbf5f695adf3a4b6f3f2|they can create a car.
voce podem comprar um carro ?|0.0

prompt_1a20a47222d00911afb6d84d396a03fe|i hope that's right.
eu espero que haja as chaves|0.0

prompt_c9ff7cd66190795368852e801b1b65c9|please find out where he is.
por favor , ele estiver ?|0.0

prompt_d0c6c2e4ef9bddfb2b94da67789b8905|they live in a small city.
eles moram uma cidade grande|0.0

prompt_7a156dfb6429b5fd9e0bb121fec43167|my art teacher was really good.
minha carteira de uma cachorro quanto do que de omeletes|0.0

prompt_789de7dd4137f7a8904d8b585dad3213|what i am saying is true.
o que eu sou meu uniforme e ?|0.0

prompt_5e1b081f66d2ed8d815f08d2c5495aca|what the newspaper says does not affect me.
qual a que nos terminamos voce nao dorme rapido !|0.0

prompt_9bf3666af0ea068b3a69628e3ec21987|he never drinks water.
ele nunca tinha agua|0.0

prompt_d5b77727c5db44431a6440838d805b82|paulo felt sick all day.
com em muitos costas cedo ?|0.0

prompt_2692243ff95e04c9c69089d9fdc949fa|it is very cold this morning.
esta muito frio este ?|0.0

prompt_4c54376a686858f84c5567b094d7aa45|do you enjoy listening to music?
voce ficou de fazer ?|0.0

prompt_b5842140194f97a7f5b7b125d98748c5|the inside of the house is red.
a geladeira esta da estrada|0.0

prompt_54ec11e55ecf5ffa44428ecf68067c9c|can i see that shirt?
eu posso ver aquilo ?|0.0

prompt_174c1ee7e470a0b4b518184c1f792d3e|can i hold the baby?
eu posso colocar a bola ?|0.0

prompt_b469a21cf695bee1a0e9c8fc361a4242|they're going to have lunch after the meeting.
eles vao saindo da manha ?|0.0

prompt_ba720953893ab6fbe0a2947e106274d7|there's no hospital in the village.
nao ha nada no aeroporto ?|0.0

prompt_8a1df7911f1b4694967dca4198fb8223|at what time did he leave?
em que horas ele precisa ?|0.0

prompt_0731e776f7b8073b81f55cf42497567d|the monkey paid a lot of money for the drums.
o macaco voou muito alcancar o lugar depois ?|0.0

prompt_9687cdc4d8ded8e5de85ba3732883ff4|they can prepare a good sandwich.
eles podem encontrar um bom novo ?|0.0

prompt_698be3c3b63260463c8cad4cf84395e2|they have danced together twice before.
eles estao juntos tres tenis ontem|0.0

prompt_cb8a4beadcfae816ac5c86d0e66aa8a2|do you know how to drive?
voce sabe onde como fazer mais ?|0.0

prompt_870708db5c0529bfb88ba72407b4f612|they will be selling food in the square as usual.
eles estarao saindo em um acidente na hora ?|0.0

prompt_71ca22102674f07a090abfd7173186aa|a group of friends.
um grupo para todo|0.0

prompt_71c1b362a73dee5664519ccc942d3b27|i always buy coffee at that café.
eu sempre que fazer aquele filme ontem|0.0

prompt_c9c87871f17a84c6b3a2c23e8497ecbd|i got married on june twenty first.
eu mal arroz na aula de meninas !|0.0

prompt_2d0819d1442580ddc9548f87605f1927|what's wrong here?
o que esta errado daqui ?|0.0

prompt_b969c4749875ae683e2368fd113f96b7|do you speak english every day?
voce fala ingles todo dia ?|0.0

prompt_8a52bfecb0fcbff8d61143dbdd77988f|he's going to work for a different company.
ele vai para a comida por janeiro|0.0

prompt_e3fca05614fe59f81e32e148169389bb|he wants to meet her.
ele quer trabalhar dela|0.0

prompt_b74dc677fdbc2038a0b3fd3c779017fb|we will come at night.
nos nos casamos para a noite|0.0

prompt_6cde5b706b176f7b55eb35f82f3bea79|i lost the guidebook, so i bought a new one.
eu acho que mas eu estava surfando|0.0

prompt_767d75add8dbc6f0dde2da59a169580e|have you ever had a million dollars?
voce ja foi um chapeu extra ?|0.0

prompt_5a33ab488a948846f8da23c76d283469|where is the meeting?
onde e o problema ?|0.0

prompt_286be93e7bf9eb244fc9afdfc3f3e95a|she said that i was crazy.
ela comeca o namorado dela estava com o que de|0.0

prompt_f9683bccf25c9dd51fc2a064b01b317b|he wants to ask us a big favor.
ele quer trabalhar tinha um amigo uma vez|0.0

prompt_68f9f8a06613c851cc1096c1ac99b7ff|i'm sixteen years old.
eu tenho dois pessoas demais !|0.0

prompt_8ec0f444eabec3929d41163105a5bb21|what do you need?
o que voce tem ?|0.0

prompt_561ce08e9f4bb253db38600315653df9|how many countries are there?
quantos quilometros estao ?|0.0

prompt_a7b917adc2e559bc14aa8bc52a3101fa|i want to read other books, but i cannot.
eu quero olhar para eu nao ?|0.0

prompt_3777a41a2b70da5bf4abce330612aa1b|their furniture looks old.
o dia os pais deles se todos os janelas todo mundo !|0.0

prompt_cef2f10874b59fb0b94677e3c7a491c0|it is very important in chinese philosophy.
e muito muito grande demais|0.0

prompt_f362b6d6e303f43cefbdb28649ffb253|did you finish the puzzle?
voce fez o custo da manha ?|0.0

prompt_c8bde79cde8e9db68c6dae06c85373b8|we finished the task.
nos levantamos a data de manha ?|0.0

prompt_c9e6f53e47c94272c44d16bc5d3c9ac6|you can take the form and fill it out later.
voce pode olhar a aula de papel ?|0.0

prompt_4f20e5592279ec135d0eaa46a2e34ca8|that's the price without tax.
isso e o problema da manha ?|0.0

prompt_b98af30d2794f0037d798c6914ebbfde|she would be happy with him.
ela estara trabalhou com a tarde|0.0

prompt_be231f8b541bb76c26a876605445f3dd|take this medicine twice daily.
aquela fruta esta aprendendo espanhol ?|0.0

prompt_e84502e4ba9c486fcd50fad83dc9e033|i would not want that for my children.
eu nao quero encontrar meu bone de manha|0.0

prompt_7ecb2d813b7416845fbdc9cff4a7b84b|a famous museum.
uma onca de cafe !|0.0

prompt_c8d4315f9c35435089f6dd33f816293f|they chat online every night.
eles sempre basquete toda noite|0.0

prompt_aa8a69ee54035de6b81feca99d7d4203|the museum is close to the train station.
o museu esta barulhento demais no fim de plastico ?|0.0

prompt_92a3598415e7473811f2bbc74c8466c0|i've never used this software before.
eu nunca usei este remedio ainda|0.0

prompt_36d2b2d154710cb785142d2b00f1032f|i had tried everything.
eu pergunto a lata de manha ?|0.0

prompt_d9838973e49f6046464dcff732fef6df|the subway goes towards the airport.
o banheiro do programa da janela !|0.0

prompt_0ca9f37fcf57d62d1e1aebe21247c7c2|his aim is to buy that property.
seu cavalo dela vai se parece dela ?|0.0

prompt_c8fbbd310be4a6db4dd7dfba1f394ef7|did she give you the receipt?
ela ficou da assinatura para o seu marido ?|0.0

prompt_efe79e18c32e356c33248541cecbcbd9|do you like having wine with dinner?
voce gosta de viajar de ligar de volta ?|0.0

prompt_59d81ac5bdb47647ba5c7d06eacaae53|no, my friends do not write from spain.
nao , meu amigo , obrigado , a rainha ja esteja da noite ?|0.0

prompt_d69d954e3b02d3a62a288fa514862d4b|i try to see my girlfriend.
eu prefiro ver minha familia|0.0

prompt_a3cd82ed6440b65d0150a92ed5cd184a|i enjoy good conversation.
eu curto algo tao carros ?|0.0

prompt_29a9de9f81c82778a940bf2049f373a5|does anna like dancing?
como tipo de cha ?|0.0

prompt_031dfc003310f4a4a148f535cce4bfa1|how old are these stairs?
quantos anos estao saindo ?|0.0

prompt_da72574b6193c2e029135798eb8cff35|he wants to study portuguese this month.
ele quer estudar na aula !|0.0

prompt_13e3c69b261f61f1302c2746b6b1729e|what is she wearing?
o que ela esta usando ?|0.0

prompt_b31aa2fb61d9edc8c3da77c5d7a78be3|what is the tallest building in new york?
qual e o predio mais alto do predio ?|0.0

prompt_6b7d57152327d27ed992e20e5a271625|you should get a new toothbrush.
voce deveria trazer um novo brinquedo|0.0

prompt_e2e627724793d87ab19e56904e3ba3a1|i'm not taking any science classes.
eu nao estou pegando o metro !|0.0

prompt_c2511a05011b4aca1be771930e6c37e9|her hair is very long.
o marido dela e muito preto|0.0

prompt_1067722203ef7e71933683a2ea198bf3|i like the local food.
eu gosto da equipe depois das fotos|0.0

prompt_a5ff38122b64f4c7c7c067876b0c5a01|this plant is growing fast.
este sanduiche e esta de outro|0.0

prompt_6f4ecf1e67437ad742871737de0388e3|i pay the rent on the first of the month.
eu comprei dele no parque e da viagem ?|0.0

prompt_bc09a349786a46953170a02f97b55a25|do you want an apple?
voce quer uma esponja ?|0.0

prompt_b0f27fa3fd2fe9a6badabe4125cea470|which class is easier?
qual aula e mais facil ?|0.0

prompt_86ced710dd123c72fea9e2c9d06afaf9|germany is definitely different from brazil.
qual e longe da geladeira ?|0.0

prompt_055281f5b24f4b02f9a92aae283358af|don't climb on those rocks.
nao suba naquela historia demais !|0.0

prompt_0d571c1dddce1e1cf9830a9f662fa18d|the closet on the left is hers.
o elefante esta na estacao e da carreira e cinco de semana|0.0

prompt_867a24dee4fff2878d6fd6a532e77915|the restrooms are at the end of the hall.
os banheiros sao no fim do corredor|0.0

prompt_27f023faba9f7dfeca03d521b909088d|go to their website and create an account.
suba para a aula ou um casaco da aula ?|0.0

prompt_a30f9dda8df26f47ebd0c332ed77f97a|the plane took off on time.
o aviao tem aquele museu ?|0.0

prompt_c79737d4a54ad585ae362a4391ed6d3d|the teacher talked to them after class.
o professor decidiu disse ?|0.0

prompt_8f29c7164f0642b6049fe5c098fdd8ff|do you want to go to the uk with me?
voce quer ir para um helicoptero com com o churrasco com mim ?|0.0

prompt_6f89bfa170ddb20fe8afc2ada6687b28|this is the same jacket, but in a different color.
este e a chave|0.0

prompt_a8dd2c35f7088ba5d143689a468409b9|i will change the end of the book.
eu vou mudar a data postais do livro ?|0.0

prompt_b8b3ad414f83cbce957ff5487dd02ecb|our teacher didn't prepare us for the test.
nosso professor nao veio para o escritorio !|0.0

prompt_963324253d03d2f971886d7822629ac2|who sat next to the monkey on the plane?
quem correu para o aeroporto no trabalho ?|0.0

prompt_1973f3c968741eb48396c0db8c8c9976|let's go sightseeing downtown on saturday.
vamos pedalar no banheiro do sabado|0.0

prompt_aea6642f3ea6b2e73a7a4a081ca53ed1|the new movie is funnier.
o filme de mais e mais|0.0

prompt_03fe71f7614f469de3625493a4eeb9ff|my english homework.
minha aula de casa|0.0

prompt_142666b48ead3881bec1edbf5c7ddedd|it's a little noisy.
e um banco agradavel ?|0.0

prompt_738986296e59b0604f18590f0766189c|what's the matter with your finger?
qual e o problema com suas costas ?|0.0

prompt_af70a28123955e957c73491fcc84a81e|the site is special.
o lugar e bastante de ingles|0.0

prompt_fb50bbde1eaa959dc6377db4a649d5f7|do you want your mother to lose her job?
voce quer o caminho para o frango ?|0.0

prompt_85110b87cc2b6fc2a181242afea66b2a|i can't find the entrance!
eu nao consigo encontrar a trilha !|0.0

prompt_34c4bffb2c61814b16b07d3d55bd8ae3|next, take a left at the corner.
a pesquisa , dirija para o ensino barulhento !|0.0

prompt_e7f45090558c4838fb46ea8ca93a5dc8|there's a coffee shop across from the library.
ha um bom grande shopping|0.0

prompt_dcf0a3b1d6ec2eb59fdf1a474c43be52|he uses a computer every day.
ele usa uma ligada todo dia ?|0.0

prompt_9a22dab759630694d308673e6e903769|we had a wonderful time.
nos tivemos uma viagem extra ?|0.0

prompt_ecee5b7761f39c52729d7c29c0bc3717|i could ask for everything that i wanted.
eu pude encontrar que eu poderia antes de iogurte ?|0.0

prompt_88bf9394fd13749a2a786750f73020f2|unfortunately, she has a terrible headache.
prazer , ela tem um sanduiche de estomago|0.0

prompt_ea00dd79de1af731834ba1bbf94780c2|we wash dishes at a restaurant.
nos olhamos algumas uma revista ?|0.0

prompt_ce1b1c40fe1e4c93a8e39b557e32a1cc|do you have thirty dollars?
voce tem quatro meninas ?|0.0

prompt_00ad3ce22713caddee98a419035b00bb|their house is old.
a estacao de sapatos e tao rapidamente !|0.0

prompt_3024563be118f4c4e1e6e956e523cbdd|we enjoyed working together.
nos vamos surfar todo|0.0

prompt_925c9f45e8c9e1c6afe28e1b95a816dc|the information is on their website.
o carro fica no dia ?|0.0

prompt_148e62be9b128bfb198ded2f8459db1e|walk to the middle of the block.
ande ate o jornalista cedo do que os correios para o jornalista cedo do que os correios para|0.0

prompt_86a3bfbd8e6a433c5267b232a94b865f|the cabinet on the right is empty.
a loja esta no direito e gorjeta|0.0

prompt_27be6c3030aed0f81fdbd15d68fed117|the singer hasn't recorded an album since the accident.
o carro nao veio na estudos desde a argentina|0.0

prompt_035efd953ec5cb415b7c644e82a1bd52|did you lose your cellphone?
voce deixou sua seu dedo ?|0.0

prompt_cafe25bd5b54a44bf57f2088ccf17955|i have never won a competition.
eu nunca estive em cantar ?|0.0

prompt_297d52bbb45a57a2fa9c56744dcd5f59|why do we have to learn so much vocabulary?
por que nos temos que a rodoviaria ?|0.0

prompt_201729a0920c8c242cc938fcc5ba3a01|what level of english are you studying?
que esta frase demais daqui|0.0

prompt_c88c8b563275048580eabef67ebf335f|where's the exit?
onde e o escritorio ?|0.0

prompt_93fc71a170ed6fdfb69f9c12651c2f76|could you get the documents from the printer?
voce poderia ligar as fotos ?|0.0

prompt_937e25c04b0c9c5964c5ad606900a3b1|where's the closest hotel?
onde e o filme ?|0.0

prompt_6682c48b6f3c00aa0157ea27496a5f62|will these curtains look good in the living room?
estas pessoas estao em algum lugar vermelho da montanha ?|0.0

prompt_89cb70a75ddb0ec988ed4d38bc03019c|fred cannot play the guitar.
nada nao precisam de violao|0.0

prompt_056a20432c8bd4b2a0d9ec2bcb6afe38|is your father here?
seu cartao de cha ou ?|0.0

prompt_c2255a6bfa52ac0b9ff427f856823a47|the boy had come from school.
o menino tinha vender a escola ?|0.0

prompt_dd6e82a145660148bb2916e28eeda612|i stayed with my grandparents until the end of the semester.
eu vou falar com aquele filme noite !|0.0

prompt_50cda89e8d2f02f9ce8aa395139d1ac1|i am good, thank you.
eu sou o professor ate voce|0.0

prompt_a3748e07113a5f2f50a3e8eb6a3d3af8|how are you doing, mr. turner?
como voce esta aberta , entao ?|0.0

prompt_52b2373a8cf3cbc193f3260d4036c63d|everybody needs water.
todo mundo recebeu agua|0.0

prompt_739abdd681b032116ab78c099331612f|this homework is very easy.
este dever de casa e muito dificil|0.0

prompt_bd658d645a2b5fcc36d999b8e43a1cb0|you will like the tomatoes from the garden.
voce gostara de volta da aula !|0.0

prompt_8586d044565240496753ba0cab3a4cbd|at what age do children start paying?
na recepcionista a esquina vai cebola na semana !|0.0

prompt_821f4fb137146a49eccb59ef9af19b17|i hope your wish will come true.
eu espero que voce esta triste ?|0.0

prompt_1a4f8fa70981cf7f95a1bbf404febf28|i've done this lesson already.
eu ja vi arroz estao dela ?|0.0

prompt_2974141d952dee00a46865602394944b|that bear eats quite a lot of sweets.
aquele cachorro come muito espaco|0.0

prompt_2483b121fe5417d8c5ff5c4150833c28|when you decide, let me know.
quando voce concluira voce chegar para voce ?|0.0

prompt_f793fa580c5727f2fa31045de67a276f|they had decided to stay.
eles concordaram para o jantar ?|0.0

prompt_f22a608142fed0864a0ea8adfbe65ee3|she cut her finger while she was making dinner.
ela cortou os oculos escuros dela porque ela estava cansado a bola dela ?|0.0

prompt_3e3044b911398f0507a82760b15cdf95|what kind of juice would you like?
que tipo de vender vai ?|0.0

